row_index,condition,pair,pair_id,pair_first_seen_row,subject_id,trial_index,first_image,second_image,correct,correct_from_acc,n_fix,image_ok_second
0,central,e00efbb3124b43f684903b0230e16252__f39e8c35b562470eb229890c2c547210,1,0,BR001,1,f39e8c35b562470eb229890c2c547210.jpg,e00efbb3124b43f684903b0230e16252.jpg,False,False,29,
1,full,15dcb6731dda4a3fb0996108c8ef8d50__28ae8fcc3c214dc5b785225113b5d5ed,1,1,BR001,2,28ae8fcc3c214dc5b785225113b5d5ed.jpg,15dcb6731dda4a3fb0996108c8ef8d50.jpg,False,False,38,
2,full,2c4e653610eb497da50f7420cff5c3a2__3e263a25c12942b6a691c1e3f8b8c0d0,2,2,BR001,3,2c4e653610eb497da50f7420cff5c3a2.jpg,3e263a25c12942b6a691c1e3f8b8c0d0.jpg,False,False,17,
3,full,31d3f5bbd9d049bda8388be302ce4f89__35a74db7048c4de29b3c7ee6ae50a713,3,3,BR001,4,35a74db7048c4de29b3c7ee6ae50a713.jpg,31d3f5bbd9d049bda8388be302ce4f89.jpg,True,True,20,
4,peripheral,5592a6d794c24c73849b83794d5b6a4e__8f8709d10e3b4a7d9132023c629b81f7,1,4,BR001,5,8f8709d10e3b4a7d9132023c629b81f7.jpg,5592a6d794c24c73849b83794d5b6a4e.jpg,True,True,18,
5,central,5ee126f8ae6640758d5481e2689bdb81__7f5e4bf12f9f4e159081162cf88a7fb7,2,5,BR001,6,7f5e4bf12f9f4e159081162cf88a7fb7.jpg,5ee126f8ae6640758d5481e2689bdb81.jpg,True,True,26,
6,central,5dd0a3014e9849d690ad2d3572c3688d__7e996257944a4eeda68a18d167963086,3,6,BR001,7,7e996257944a4eeda68a18d167963086.jpg,5dd0a3014e9849d690ad2d3572c3688d.jpg,False,False,19,
7,peripheral,571b534494664f83b7f796bde052bf49__573e9073f3ed44b094a3ffbbe8fed4db,2,7,BR001,8,573e9073f3ed44b094a3ffbbe8fed4db.jpg,571b534494664f83b7f796bde052bf49.jpg,False,False,16,
8,full,495cce2d2d5c4495bd7c9e6d830478f3__87c1a1bec35c47e089bac56e8131c919,4,8,BR001,9,495cce2d2d5c4495bd7c9e6d830478f3.jpg,87c1a1bec35c47e089bac56e8131c919.jpg,True,True,10,
9,full,b5a412d4d3fd487ab2df85a841e15426__b8a9bb6df11f42ceb2b99b77c6042903,5,9,BR001,10,b8a9bb6df11f42ceb2b99b77c6042903.jpg,b5a412d4d3fd487ab2df85a841e15426.jpg,True,True,15,
