pair_id,mean_accuracy,viewing,rank_type,filename1,filename2
fcd5dbb7acee4019a91dbc33d573c3cf.jpg|fec5ae6f72f445ea97f69ec64979ab06.jpg,1.0,full,top,fec5ae6f72f445ea97f69ec64979ab06.jpg,fcd5dbb7acee4019a91dbc33d573c3cf.jpg
495cce2d2d5c4495bd7c9e6d830478f3.jpg|87c1a1bec35c47e089bac56e8131c919.jpg,1.0,full,top,495cce2d2d5c4495bd7c9e6d830478f3.jpg,87c1a1bec35c47e089bac56e8131c919.jpg
51d069ec5b064608ac23eaf223e1dcaa.jpg|8e11a5ad9cec4032bba9fe67be646e78.jpg,1.0,full,top,51d069ec5b064608ac23eaf223e1dcaa.jpg,8e11a5ad9cec4032bba9fe67be646e78.jpg
5899d895f4aa4591a07d4b64a746e8b8.jpg|7287dfd9e4a7453b85dfccc581d234bf.jpg,0.0,full,bottom,7287dfd9e4a7453b85dfccc581d234bf.jpg,5899d895f4aa4591a07d4b64a746e8b8.jpg
341480a2e5364dcd887d2fae629a5fa3.jpg|740455db60c2427c95bed843f977d956.jpg,0.0,full,bottom,740455db60c2427c95bed843f977d956.jpg,341480a2e5364dcd887d2fae629a5fa3.jpg
19fdd1aaa7244cc696ea94f64d80469d.jpg|57f6a02ebfaa4340af2adf4d066b0a6f.jpg,0.3333333333333333,full,bottom,19fdd1aaa7244cc696ea94f64d80469d.jpg,57f6a02ebfaa4340af2adf4d066b0a6f.jpg
002fac9e85104f41a7843820e9e87ee3.jpg|30e447f9321a4c74880915cc77f54950.jpg,1.0,central,top,002fac9e85104f41a7843820e9e87ee3.jpg,30e447f9321a4c74880915cc77f54950.jpg
21dce860b4934055a44d34bfcea1ae4d.jpg|5ec0a218f01048b2b25396013c727f77.jpg,1.0,central,top,5ec0a218f01048b2b25396013c727f77.jpg,21dce860b4934055a44d34bfcea1ae4d.jpg
dba5f9612a5644af81dea179dc1880aa.jpg|dbc7fc54be7544718e0c9964f23f3005.jpg,1.0,central,top,dbc7fc54be7544718e0c9964f23f3005.jpg,dba5f9612a5644af81dea179dc1880aa.jpg
341480a2e5364dcd887d2fae629a5fa3.jpg|740455db60c2427c95bed843f977d956.jpg,0.0,central,bottom,740455db60c2427c95bed843f977d956.jpg,341480a2e5364dcd887d2fae629a5fa3.jpg
5899d895f4aa4591a07d4b64a746e8b8.jpg|7287dfd9e4a7453b85dfccc581d234bf.jpg,0.1111111111111111,central,bottom,7287dfd9e4a7453b85dfccc581d234bf.jpg,5899d895f4aa4591a07d4b64a746e8b8.jpg
15ae1a8affa04c35afde69fed22060b2.jpg|3f42b0faebd6452f96de9606b432ae11.jpg,0.3333333333333333,central,bottom,15ae1a8affa04c35afde69fed22060b2.jpg,3f42b0faebd6452f96de9606b432ae11.jpg
002fac9e85104f41a7843820e9e87ee3.jpg|30e447f9321a4c74880915cc77f54950.jpg,1.0,peripheral,top,002fac9e85104f41a7843820e9e87ee3.jpg,30e447f9321a4c74880915cc77f54950.jpg
21dce860b4934055a44d34bfcea1ae4d.jpg|5ec0a218f01048b2b25396013c727f77.jpg,1.0,peripheral,top,5ec0a218f01048b2b25396013c727f77.jpg,21dce860b4934055a44d34bfcea1ae4d.jpg
2ce212ba33494a75a00b43500a31c475.jpg|7cc37f0472f748599a44d47770b24467.jpg,1.0,peripheral,top,7cc37f0472f748599a44d47770b24467.jpg,2ce212ba33494a75a00b43500a31c475.jpg
5899d895f4aa4591a07d4b64a746e8b8.jpg|7287dfd9e4a7453b85dfccc581d234bf.jpg,0.0,peripheral,bottom,7287dfd9e4a7453b85dfccc581d234bf.jpg,5899d895f4aa4591a07d4b64a746e8b8.jpg
341480a2e5364dcd887d2fae629a5fa3.jpg|740455db60c2427c95bed843f977d956.jpg,0.08333333333333333,peripheral,bottom,740455db60c2427c95bed843f977d956.jpg,341480a2e5364dcd887d2fae629a5fa3.jpg
19fdd1aaa7244cc696ea94f64d80469d.jpg|57f6a02ebfaa4340af2adf4d066b0a6f.jpg,0.1111111111111111,peripheral,bottom,19fdd1aaa7244cc696ea94f64d80469d.jpg,57f6a02ebfaa4340af2adf4d066b0a6f.jpg
